Tab-delimited Protein to Protein Blast Summary:
Query database: /Users/pwilmart/Desktop/TimeMachineSkip/Phil/Ben_annotation_example/BLAST/GCF_005190385.1_NGI_Narwhal_1_protein_subset.fasta
Hit database: /Users/pwilmart/Desktop/TimeMachineSkip/Phil/Ben_annotation_example/BLAST/2019.06_UP000005640_9606_Homo_sapiens_canonical.fasta


query_number	query_acc	query_desc	hit_acc	hit_desc	blast_scores	match_status	query_aa	hit_aa	alignment_aa	identity_aa	positive_aa	pc_identity	pc_postive	bit_score
252	XP_029097695.1	inter-alpha-trypsin inhibitor heavy chain H4 isoform X2 [Monodon monoceros]	sp|Q14624|ITIH4_HUMAN	Inter-alpha-trypsin inhibitor heavy chain H4 OS=Homo sapiens OX=9606 GN=ITIH4 PE=1 SV=4	ident:689/916 pos:768/916 query:916 hit:930 align:947 bit:1354.0	OK	916	930	947	689	768	75.2	83.8	1354.0
253	XP_029097698.1	inter-alpha-trypsin inhibitor heavy chain H3 isoform X2 [Monodon monoceros]	sp|Q06033|ITIH3_HUMAN	Inter-alpha-trypsin inhibitor heavy chain H3 OS=Homo sapiens OX=9606 GN=ITIH3 PE=1 SV=2	ident:755/901 pos:803/901 query:901 hit:890 align:859 bit:1576.2	OK	901	890	859	755	803	83.8	89.1	1576.2
254	XP_029097744.1	complement C4-like [Monodon monoceros]	sp|P0C0L5|CO4B_HUMAN	Complement C4-B OS=Homo sapiens OX=9606 GN=C4B_2 PE=1 SV=2	ident:1435/1740 pos:1553/1740 query:1740 hit:1744 align:1745 bit:2843.1	OK	1740	1744	1745	1435	1553	82.5	89.3	2843.1
255	XP_029097746.1	complement factor B [Monodon monoceros]	sp|P00751|CFAB_HUMAN	Complement factor B OS=Homo sapiens OX=9606 GN=CFB PE=1 SV=2	ident:621/765 pos:695/765 query:765 hit:764 align:768 bit:1313.5	OK	765	764	768	621	695	81.2	90.8	1313.5
256	XP_029097747.1	complement C2 [Monodon monoceros]	sp|P06681|CO2_HUMAN	Complement C2 OS=Homo sapiens OX=9606 GN=C2 PE=1 SV=2	ident:623/751 pos:675/751 query:751 hit:752 align:753 bit:1305.8	OK	751	752	753	623	675	83.0	89.9	1305.8
257	XP_029098311.1	glucose-6-phosphate isomerase [Monodon monoceros]	sp|P06744|G6PI_HUMAN	Glucose-6-phosphate isomerase OS=Homo sapiens OX=9606 GN=GPI PE=1 SV=4	ident:514/558 pos:539/558 query:558 hit:558 align:558 bit:1087.0	OK	558	558	558	514	539	92.1	96.6	1087.0
258	XP_029098394.1	lactotransferrin isoform X1 [Monodon monoceros]	sp|P02788|TRFL_HUMAN	Lactotransferrin OS=Homo sapiens OX=9606 GN=LTF PE=1 SV=6	ident:517/710 pos:598/710 query:710 hit:710 align:709 bit:1080.1	OK	710	710	709	517	598	72.8	84.2	1080.1
259	XP_029098462.1	phosphatidylinositol-glycan-specific phospholipase D isoform X1 [Monodon monoceros]	sp|P80108|PHLD_HUMAN	Phosphatidylinositol-glycan-specific phospholipase D OS=Homo sapiens OX=9606 GN=GPLD1 PE=1 SV=3	ident:704/840 pos:764/840 query:840 hit:840 align:841 bit:1441.0	OK	840	840	841	704	764	83.8	91.0	1441.0
260	XP_029098637.1	histone H1.2 [Monodon monoceros]	sp|P16402|H13_HUMAN	Histone H1.3 OS=Homo sapiens OX=9606 GN=HIST1H1D PE=1 SV=2	ident:128/213 pos:132/213 query:213 hit:221 align:148 bit:169.9	OK	213	221	148	128	132	60.1	62.0	169.9
261	XP_029098764.1	hyaluronidase-1 [Monodon monoceros]	sp|Q12794|HYAL1_HUMAN	Hyaluronidase-1 OS=Homo sapiens OX=9606 GN=HYAL1 PE=1 SV=2	ident:370/448 pos:397/448 query:448 hit:435 align:434 bit:746.9	OK	448	435	434	370	397	82.6	88.6	746.9
262	XP_029098786.1	inter-alpha-trypsin inhibitor heavy chain H1 isoform X1 [Monodon monoceros]	sp|P19827|ITIH1_HUMAN	Inter-alpha-trypsin inhibitor heavy chain H1 OS=Homo sapiens OX=9606 GN=ITIH1 PE=1 SV=3	ident:745/910 pos:824/910 query:910 hit:911 align:911 bit:1552.7	OK	910	911	911	745	824	81.9	90.5	1552.7
263	XP_029098850.1	apolipoprotein M isoform X2 [Monodon monoceros]	sp|O95445|APOM_HUMAN	Apolipoprotein M OS=Homo sapiens OX=9606 GN=APOM PE=1 SV=2	ident:137/170 pos:145/170 query:170 hit:188 align:158 bit:288.5	OK	170	188	158	137	145	80.6	85.3	288.5
264	XP_029098860.1	transketolase [Monodon monoceros]	sp|P29401|TKT_HUMAN	Transketolase OS=Homo sapiens OX=9606 GN=TKT PE=1 SV=3	ident:582/623 pos:608/623 query:623 hit:623 align:623 bit:1229.5	OK	623	623	623	582	608	93.4	97.6	1229.5
265	XP_029099148.1	cathelicidin-5-like, partial [Monodon monoceros]	sp|P49913|CAMP_HUMAN	Cathelicidin antimicrobial peptide OS=Homo sapiens OX=9606 GN=CAMP PE=1 SV=1	ident:67/136 pos:80/136 query:136 hit:170 align:96 bit:142.5	OK	136	170	96	67	80	49.3	58.8	142.5
266	XP_029099276.1	xaa-Pro dipeptidase [Monodon monoceros]	sp|P12955|PEPD_HUMAN	Xaa-Pro dipeptidase OS=Homo sapiens OX=9606 GN=PEPD PE=1 SV=3	ident:452/493 pos:473/493 query:493 hit:493 align:493 bit:957.2	OK	493	493	493	452	473	91.7	95.9	957.2
267	XP_029099597.1	vasodilator-stimulated phosphoprotein isoform X1 [Monodon monoceros]	sp|P50552|VASP_HUMAN	Vasodilator-stimulated phosphoprotein OS=Homo sapiens OX=9606 GN=VASP PE=1 SV=3	ident:345/384 pos:350/384 query:384 hit:380 align:384 bit:493.8	OK	384	380	384	345	350	89.8	91.1	493.8
268	XP_029099880.1	LOW QUALITY PROTEIN: very-long-chain 3-oxoacyl-CoA reductase-B-like [Monodon monoceros]	sp|P37058|DHB3_HUMAN	Testosterone 17-beta-dehydrogenase 3 OS=Homo sapiens OX=9606 GN=HSD17B3 PE=1 SV=2	ident:107/305 pos:158/305 query:305 hit:310 align:267 bit:175.3	OK	305	310	267	107	158	35.1	51.8	175.3
269	XP_029100278.1	glutathione peroxidase 1 [Monodon monoceros]	sp|P07203|GPX1_HUMAN	Glutathione peroxidase 1 OS=Homo sapiens OX=9606 GN=GPX1 PE=1 SV=4	ident:179/206 pos:183/206 query:206 hit:203 align:190 bit:373.6	OK	206	203	190	179	183	86.9	88.8	373.6
270	XP_029100445.1	carboxypeptidase N catalytic chain isoform X1 [Monodon monoceros]	sp|P15169|CBPN_HUMAN	Carboxypeptidase N catalytic chain OS=Homo sapiens OX=9606 GN=CPN1 PE=1 SV=1	ident:317/475 pos:333/475 query:475 hit:458 align:353 bit:666.0	OK	475	458	353	317	333	66.7	70.1	666.0
271	XP_029100658.1	deleted in malignant brain tumors 1 protein [Monodon monoceros]	sp|Q9UGM3|DMBT1_HUMAN	Deleted in malignant brain tumors 1 protein OS=Homo sapiens OX=9606 GN=DMBT1 PE=1 SV=2	ident:386/674 pos:426/674 query:674 hit:2413 align:529 bit:782.7	Partial_match_hit	674	2413	529	386	426	57.3	63.2	782.7
272	XP_029100736.1	hyaluronan-binding protein 2 [Monodon monoceros]	sp|Q14520|HABP2_HUMAN	Hyaluronan-binding protein 2 OS=Homo sapiens OX=9606 GN=HABP2 PE=1 SV=1	ident:461/553 pos:496/553 query:553 hit:560 align:560 bit:974.5	OK	553	560	560	461	496	83.4	89.7	974.5
273	XP_029100746.1	vinculin isoform X1 [Monodon monoceros]	sp|P18206|VINC_HUMAN	Vinculin OS=Homo sapiens OX=9606 GN=VCL PE=1 SV=4	ident:1023/1066 pos:1036/1066 query:1066 hit:1134 align:1134 bit:2030.8	OK	1066	1134	1134	1023	1036	96.0	97.2	2030.8
274	XP_029100754.1	angiotensinogen isoform X1 [Monodon monoceros]	sp|P01019|ANGT_HUMAN	Angiotensinogen OS=Homo sapiens OX=9606 GN=AGT PE=1 SV=1	ident:324/504 pos:380/504 query:504 hit:485 align:480 bit:644.8	OK	504	485	480	324	380	64.3	75.4	644.8
275	XP_029100963.1	prosaposin isoform X2 [Monodon monoceros]	sp|P07602|SAP_HUMAN	Prosaposin OS=Homo sapiens OX=9606 GN=PSAP PE=1 SV=2	ident:447/524 pos:489/524 query:524 hit:524 align:524 bit:919.5	OK	524	524	524	447	489	85.3	93.3	919.5

 2 proteins had no or poor matches
Identity scores had a mean of 79.52% (15.17%)
Identity cutoff for OK was 34.01%
275 proteins processed.
